text,sentiment,text_clean
puas bgt krn bs di pake buat belanja dgn paylater,positif,puas banget pake belanja paylater
"saat saya menggunakan shopee awalnya saya ragu, benar ngga ya, takut kena tipu, dan saya mulai, bertanya kepada teman saya yang sudah lama menggunakan aplikasi shopee untuk belanja, akhirnya saya coba lewat aplikasinya teman saya, nah barangnya tiba dengan cepat dan baik.dari situ saya mulai mengupload aplikasi shopee kemudian saya mulai pesan barang melalui aplikasi shopee di hp saya, dengan alamat saya sendiri.",positif,shopee ragu ya takut kena tipu teman aplikasi shopee belanja coba aplikasi teman barang cepat baikdari situ mengupload aplikasi shopee pesan barang aplikasi shopee hp alamat
"dear shopee,tolong dipikirkan lg mengenai kebijakan dan sistem baru yg ada di hub.mustikajaya.Kenapa harus ada kurir mitra plus,tahukan kalian itu ada efek jangka panjang dan pendek bagi kurir mitra biasa yaitu tdk dpt bagian paket meskipun dijatah cut off.Sedangkan dedicated ada target apalgi mitra plus, bagaimana untuk mendpt upah ,paket saja tdk dpt sama sekali.Asal kalian tahu,semenjak di berlakukan mitra plus dan sistem paket eco or hemat,banyak kurir biasa menganggur gara² kebijakan konyol",negatif,dear shopeetolong pikir bijak sistem hubmustikajayakenapa kurir mitra plustahukan efek jangka pendek kurir mitra tdk paket jatah cut offsedangkan dedicated target apalgi mitra plus mendpt upah paket tdk sekaliasal tahusemenjak laku mitra plus sistem paket eco or hematbanyak kurir anggur gara bijak konyol
terpercaya belanja sesuai pesanan,positif,percaya belanja sesuai pesan
"2dp ccforceforc m b b, b v n, v e force warna, ,,,,,,,, ,,,,,",negatif,dp ccforceforc m b b b v v e force warna
terbantukan. gimana cara naikkan limit paylater kk. biar bisa tuk lainnya.,positif,bantu gimana naik limit paylater kk biar tuk
KHUSUS KURIR SHOPEE PANGKALAN KERINCI LEMOT...GERAK LAMBAT...TERLALU MENYEPELEKAN WAKTU....UDAH KE 3 KALI INI PAKET SAYA DITERIMA LEBIH DARI ESTIMASI...KALAU SHOPEE GAK ADA KETEGASAN UNTUK TIAP CABANGNYA TERUTAMA PANGKALAN KERINCI YANG GAK MAU MEMPERBANYAK KURIR MENDING GAK USAH BUKA DI PANGKALAN KERINCI,negatif,khusus kurir shopee pangkal kerinci lemotgerak lambatterlalu sepele waktuudah kali paket terima estimasikalau shopee tegas cabang pangkal kerinci banyak kurir buka pangkal kerinci
menyenangkan skli,positif,senang skli
"cuma di shopee yg beda , di toko sbelah info kurir nya tertera di pengiriman",positif,shopee beda toko sbelah info kurir nya tera kirim
"Gak senyaman dulu, sekarang sering lemot",positif,nyaman lambat
sangat terbatu adanya shopee,positif,batu shopee
alhamdulilah barang sampai bagus sesuai pesanan,positif,alhamdulilah barang bagus sesuai pesan
"aplikasi ini membantu saya yang mager untuk beli barang,dan banyak diskonnya",positif,aplikasi bantu malas gerak beli barangdan diskon
tapi udah 2x tebus murah gak dikirim cuma dkemas 2 hari langsung hilang pesanannya,positif,udah x tebus murah kirim dkemas langsung hilang pesan
toko Oren memang mantap,positif,toko oren mantap
aplikasi bagus... proses pesanan dan pengembalian barang mudah,positif,aplikasi bagus proses pesan kembali barang mudah
barang sesuai juga tepat waktu,positif,barang sesuai
"makin ngawur nih ekspedisinya.. tambah kesini tambah lama estimasi nyampenya.. masa harus kasih bintang mines 5..katanya express tapi lelet banget, udah di deket rumah malah balik lagi ke DC gak ngerti lagi lah sama pengirimannya.. jauh banget sama ekspedisi di e-commerce logo love, hari ini order besok udah nyampe aja.. ini seminggu baru nyampe padahal deket..",negatif,ngawur nih ekspedisi kesini estimasi nyampenya kasih bintang mes express lelet udah deket rumah dc ngerti kirim ekspedisi ecommerce logo love order besok udah nyampe minggu nyampe deket
puas sangat puas,positif,puas puas
"semenjak ada shopee Sangat terbantu,shopee sangat bermanfaat. bisa belanja barang yang diinginkan tanpa keluar rumah, makasih shopee",positif,semenjak shopee terbantushopee manfaat belanja barang rumah makasih shopee
"dulu saya sangat suka blaja pakai aplikasi ini, apapun kebutuhan aplikasi ini yg jadi andalan.. tpi skitar setahunan kemudian aplikasinya ini terasa berat banget, mau buka ini itu kayak harus nunggu banget.. loadingnya lelet dan lama banget.",netral,suka blaja pakai aplikasi apa butuh aplikasi andal tpi skitar tahun aplikasi berat buka nunggu loadingnya lelet
shopee tempat yang sangat tepat untuk berbelanja,positif,shopee belanja
Saya sangat menyukai aplikasi ini,positif,suka aplikasi
sangat menyenangkan cari barang dan belanja d shopee. .,positif,senang cari barang belanja shopee
"saya uninstall shopee karena koin shopee tidak bisa sepenuhnya beli apapun hanya 25% koin,beda sama aplikasi gopay 100% bisa di pake apapun jadi keadaan darurat buat ngojek beli pulsa PLN jadi lebih mudah dlm keadaan darurat",negatif,uninstall shopee koin shopee sepenuh beli apa koinbeda aplikasi gopay pake apa darurat ngojek beli pulsa pln mudah dlm darurat
Aku hanya ingin membaca di web tapi iklan kalian sangat menggangu,negatif,baca web iklan menggangu
"aplikasi bagus... saran buat shoppe,klw rasa sudah banyak pengikut dan pengguna...tolong lah untuk jangan ego,maksdnya cobalh untuk kerja sama juga dengan JNT dan jasa pengiriman lain kk...biar lebih cepat barang sampe tujuan. karna kadang splinter shoope banyak yg malas2 dan ogah ogahan mengantar karna mungkin saking banyak nya barang yg harus d antar ke costumer... biar saling membantu gitu loh SHOPPE. kita hidup sama² di bumi,mari sama² memanusiakan manusia. kasian juga liat kk-kk splinter",positif,aplikasi bagus saran shoppeklw ikut penggunatolong egomaksdnya cobalh kerja jnt jasa kirim kkbiar cepat barang tuju kadang splinter shoope malas ogah antar saking nya barang costumer biar bantu loh shoppe hidup sama bumimari sama manusia manusia kasi liat kkkk splinter
pengiriman lama tidak sesuai estimasi,negatif,kirim sesuai estimasi
shope sangat murah dan bagus² barang nya dan tempat barangnya sangat aman dan rapat.,positif,shope murah bagus barang nya barang aman rapat
tolong toko/ penjual ada yang nakal yang diorder/yang ditawarkan barangnya gak sesuai ditegor dan diberikan sangsi,positif,tolong toko jual nakal diorderyang tawar barang sesuai ditegor sangsi
"pesanan sangat lama ditunda seenaknya oleh kurir lama2 , pembelian d jakarta ky beli di luar negeri sampe seminggu belom juga tiba",negatif,pesan tunda kurir beli jakarta beli negeri minggu bom
lancar selama saya belanja,positif,lancar belanja
"Shopee makin bosok, udah di update makin lag,, pertama buka Shopee langsung ke live,, setiap nandain barang ke wislish, barang nya malah hilang, tidak muncul di wishlist 😤",netral,shopee bosok udah update lag buka shopee langsung live nandain barang wislish barang nya hilang muncul wishlist
"tolong hapus aja jasa pengiriman expedisi JNE di kota Bulukumba tidak berguna. paket terus di tunda padahal JNE reguler. makin pusing paket stack di JNE, kuajukan pengembalian dana juga di gantung sama shopee.",negatif,tolong hapus jasa kirim expedisi jne kota bulukumba guna paket tunda jne reguler pusing paket stack jne aju kembali dana gantung shopee
OK...,positif,tuju
dc nya shope lemot kali di dc bekasi,netral,dc nya shope lambat kali dc bekas
"belanja jdi mudah dengan shopee, terima kasih shopee",positif,belanja mudah shopee terima kasih shopee
Banyak promo mantap pokoknya the best,positif,promo mantap pokok the best
Aplikasi nya bagus dan sangat membantu,positif,aplikasi nya bagus bantu
"parah minta di percepat malah di perlambat, pesanan stuck di satu tempat sampe 1 minggu kacau nyesel gua belanja di apk ruksak ini",negatif,parah cepat lambat pesan stuck minggu kacau nyesel belanja aplikasi ruksak
tolong tinjau spinjam saya dan paylater saya ka,positif,tolong tinjau spinjam paylater ka
"Pengembalian dana gada penyelesaian dari CS nya, trus juga lelet tim nya gada kerja buat nyelesain masalah pelanggan nya",negatif,kembali dana gada selesai cs nya trus lelet tim nya gada kerja nyelesain langgan nya
Mantapp,positif,mantapp
"untuk apk yg satu ini sungguh sangat"" membingungkan saya sudah beberapa kali memesan barang namun tidak ada yg namanya sampai barang itu KPD saya jadi tolonglah d periksa lagi untuk kurir"" nya ini di kondisikan sya menunggu begitu lama namun tiba"" BRG sudah d fotokan lalu kami akan mengembalikan KPD pengirim aneh sampai"" sya bingung telfon GK ada wa GK ada kecewa sya",netral,aplikasi sungguh bingung kali mes barang nama barang kpd tolong periksa kurir nya kondisi sya tunggu barang foto kembali kpd kirim aneh sya bingung telfon gk wa gk kecewa sya
Sale,positif,sale
sangat membantu untuk kegunaan pribadi.thanks you shopee indonesia,positif,bantu guna pribadithanks you shopee indonesia
"min , knp saya ga upload verifikasi foto ktp dan npwp .... ? dr shopee affiliate saya ... tolong dibantu. sosmed nya apa namanya ? 🙏",negatif,min upload verifikasi foto ktp npwp shopee affiliate tolong bantu sosmed nya nama
Kualitas barang sesuai harga,positif,kualitas barang sesuai harga
pro,positif,pro
secara menyeluruh aplikasi shopeee sudah the best,positif,aplikasi shopeee the best
"5 bintang untuk shopee, aplikasinya bagus, yang pastinya kalau beli disini barang jadi lebih murah, hemat, pengantaran barang cepat, dan juga lebih banyak pilihan-pilihan nya harganya super duper murah dan pastinya barangnya bagus-baguss kalau kita gk salah pilih tokonyaa.. sukses selalu shopee 🤗🤍",positif,bintang shopee aplikasi bagus pasti beli barang murah hemat antar barang cepat pilihanpilihan nya harga super duper murah pasti barang bagusbaguss gk salah pilih tokonyaa sukses shopee
Gassskeunnnn....,positif,gassskeunnnn
oke Pak,positif,tuju
lmyan bagus,positif,lumayan bagus
untuk di pencarian nya smakin susah klo mengetik mencari prodak harus bner2 passs,negatif,cari nya smakin susah etik cari prodak bner passs
senang pakai shoo pe,positif,senang pakai shoo pe
"knp saya suka shopee ,, ongkirnya murah,,, kadang malah han,,, sering gratis ongkir",positif,suka shopee ongkirnya murah kadang han gratis ongkir
Mantuull,positif,mantuull
puas dg pelayanan dan kualitas barang sama dengan yg diiklankan. semoga makin banyak tersedia barang2 dengan kualitas baik,positif,puas layan kualitas barang iklan moga sedia barang kualitas
aplikasi bagus good,positif,aplikasi bagus good
"Alhamdulillah brng datang Bagus,",positif,alhamdulillah brng bagus
pesanannya nyampe tepat waktu,positif,pesan nyampe
rekomendasi untuk mengirimkan,positif,rekomendasi kirim
njk. 😤😲😤😤🤮🐙,positif,njk
baguss belanja di Shopee,positif,baguss belanja shopee
"kurir bagus,, expedisi cepat sangat rekomendasi",positif,kurir bagus expedisi cepat rekomendasi
terkadang error,positif,terkadang error
tolong dong game nya nge leg teruss.. tiba2 keluar sendiri 😪😪dalam perbaikan .habis itu sruh update pdhal udh di update..ini gmna apa krna jaringan.. tolong diperbaiki dan ditingkatkan lagii,positif,tolong tolong game nya nge leg teruss dalam baik habis sruh update pdhal updateini gmna jaring tolong baik tingkat lagi
pengiriman lemot paket ECO lama datang suka pending,negatif,kirim lambat paket eco suka pending
lumayan amanah,netral,lumayan amanah
"aplikasi yg sangat membantu,",positif,aplikasi bantu
aplikasi gak jelas,negatif,aplikasi
Terima kasih barangx sdh di terima sesuai pesanan n kmi sgt puas 👍🙏,negatif,terima kasih barangx sdh terima sesuai pesan kmi sgt puas
saya suka belanja di shopee,negatif,suka belanja shopee
"can u say ""aku ni ruok lah""",positif,can u say ni ruok
sukses selalu terimakasih,positif,sukses terimakasih
udah bertahun tahun belanja pake shopee,positif,udah tahun belanja pake shopee
sangat terbantu dengan bisa belanja online.,positif,bantu belanja online
b aja,negatif,b
"bagus dan banyak gratis onkir, hehe. semangat terus shopee 💗",positif,bagus gratis onkir hehe semangat shopee
shope sangat membantu mempermudah belanja sgala kbutuhan tidak perlu repot kesana kemari pelayanannya juga bagus,positif,shope bantu mudah belanja sgala kbutuhan repot kesana kemari layan bagus
belanja paling murah ori lagi ya di shopee aja deh 👍👍,positif,belanja murah ori ya shopee deh
Shopee ok,positif,shopee tuju
sangat baik👍,netral,baik
"sangat membantu ,banyak promo menarik 👍",positif,bantu promo tarik
"sangat membantu ,belanja tdk harus kemana mana",positif,bantu belanja tdk mana
Parah voucher diskonnya banyak dipakai para pengguna bot. Kapan Shopee bisa bertindak tegas untuk blokir pengguna bot secara ilegal.,negatif,parah voucher diskon pakai guna bot shopee tindak blokir guna bot ilegal
bagus ongkirnya murah,positif,bagus ongkirnya murah
"ok belanja hemat dpt diskon, terimakasih shopee Indonesia semoga kedepannya slalu amanah 👍😊",positif,tuju belanja hemat diskon terimakasih shopee indonesia moga depan slalu amanah
"belanja di shoppee begitu mudah dan praktis,pengiriman nya juga cepat, kurirnya baik barang di terima dlm kondisi baik semua, makasih shopee👍",positif,belanja shoppee mudah praktispengiriman nya cepat kurir barang terima dlm kondisi makasih shopee
suka sekali sampai saat ini masih aman aman saja,positif,suka aman aman
apik cah,positif,apik cah
rekomendasi Banget buat ibu ibu yang males keluar rumah seperti saya jadi semua keperluan dan kebutuhan bisa terpenuhi suskes selalu untuk shopee indonesia,positif,rekomendasi malas rumah perlu butuh penuh suskes shopee indonesia
potongan gede paket sameday... hilang gak diganti paket instan waktu pickup bisa sampai 4jam pejual batas proses instan cuma 2jam makin kaya taiii...,negatif,potong gede paket sameday hilang ganti paket instan pickup jam jual batas proses instan jam kaya taiii
Update selanjutnya tolong pilih opsi agar tidak wajib menilai kurir setelah kasih ulasan.,netral,update tolong pilih opsi wajib nilai kurir kasih ulas
iklannya hapus bikin memo penuh kepencet download terus sampe bosen sama iklannya,negatif,iklan hapus bikin memo penuh pencet download bosen iklan
Mantul,positif,mantap
"bagi pengalaman baru"" ini sudah 2 kali kejadian belanja di sini barang sering hilang atau tidak sesuai dgn pesanan pas waktu datang,,paket seperti sudah di buka,lalu di packing ulang..tolong pihak shopee awasi betul-betul bagi yang mau kerja,harus amanah.jangan sampai bikin orang kapok belanja disini.jujur saya sangat"" kecewa.",negatif,alam kali jadi belanja barang hilang sesuai pesan pas datangpaket bukalalu packing ulangtolong shopee awas betulbetul kerjaharus amanahjangan bikin orang kapok belanja disinijujur kecewa
"knpa ya shopee sekarang pengiriman sangat lambatttttt dan tidak d kirim"" kamprettt",negatif,ya shopee kirim lambatttttt kirim kamprettt
ebebubeb,positif,ebebubeb
Alhamdulillah baran dan kualitas barang sesuai pesenan pengiriman juga cepet,positif,alhamdulillah baran kualitas barang sesuai sen kirim cepat
shope kinerjanya bagus tepat waktu tidak lama dalam pengiriman barang ke kostumer,positif,shope kerja bagus kirim barang kostumer
mantaaappp,positif,mantaaappp
Apa semua harga dengan nomor baru ada diskon ya,positif,harga nomor diskon ya
saya udh batalin pesanan saya tadi tanggal 14 Oktober 2025 knp sekarang malah Dateng wah penjual nya gak bisa di kontrol udh di batalin knp masih di kirim ada padahal blm di kirim masih di kemas eh kok di kirim harganya naik bayak banget lagi 35 RB kok jadi 64 RB gimana sih ini apk nya aku mau cat juga udh di blok sama toko nya yaudh saya komplen di sini aja saya wa kurir nya juga gak di bls centang 1 lagi payah ini,negatif,batalin pesan tanggal oktober dateng jual nya kontrol batalin kirim kirim kemas eh kirim harga bayak rb rb gimana sih aplikasi nya cat blok toko nya yaudh komplen wa kurir nya bls centang payah
"ini mah bagus banget aplikasinya, lebih membantu untuk menghemat uang dengan belanja di shopee",positif,mah bagus aplikasi bantu hemat uang belanja shopee
Terima kasih,positif,terima kasih
suka klo pas pesanan sy puas tpi klo mengecewakan tdk puas,positif,suka pas pesan sy puas tpi kecewa tdk puas
debest,positif,debest
lumayan garcep dan amanah,positif,lumayan garcep amanah
"Lain kali barang sebelum di kirim ke cangin baut2nya, terutama baut trave di barang elektronik",positif,kali barang kirim cangin baut baut trave barang elektronik
shopee mantap...,positif,shopee mantap
promo tidak berlaku,negatif,promo laku
"mau upgrade shopeepay plus aja susahnya minta ampun,kendala ktp sudah terdaftar,udah lapor cs penanganya lambat.semoga dibaca sama server",negatif,upgrade shopeepay plus susah ampunkendala ktp terdaftarudah lapor cs penanganya lambatsemoga baca server
sangat bagus dan membantu,positif,bagus bantu
"tolong dong Dipastiin lgi kerja samanya sama pengiriman paketnya. masa saya COD nunggu udah lebih 10 hr tiba"" status kiriman di blg kita nolak kiriman. sedangkn menerima aja blom.",positif,tolong tolong dipastiin lgi kerja sama kirim paket cod nunggu udah hr status kirim bilang nolak kirim sedangkn terima blom
saya sangat suka dengan aplikasi ini,positif,suka aplikasi
menurut saya app ini bagus,positif,app bagus
tingkatkan kinerja jasa kirim dan kurir,positif,tingkat kerja jasa kirim kurir
ko sekarang lemot dan keluar sendiri,positif,ko lambat
Tingkat kn lg kualitas dn kuantitas produk yg dijual....shopee pilihan yg tepat,positif,tingkat kualitas dn kuantitas produk dijualshopee pilih
dapat membersihkan yg sulit dijangkau,positif,bersih sulit jangkau
mkasih shopee mempermudah mak2 belanja,positif,mkasih shopee mudah mak belanja
harga bersahabat kualitas hebat,positif,harga sahabat kualitas hebat
ni mo Bu Bu crb wae 4n44xxy JM dddddxidoy7n ni jmyyyr,positif,ni mo bu bu crb wae nxxy jm dddddxidoyn ni jmyyyr
banyak bangettt promooo cocok buat para pelajar,positif,bangettt promooo cocok ajar
terima kasih shoope... sangat membantu dikala membutuhkan.. kamsiaa boss.,positif,terima kasih shoope bantu kala butuh kamsiaa boss
"belanja di shopee selalu puas dengan pelayanan seller,kurir paket, barang datang sesuai yang diinginkan 🤗",positif,belanja shopee puas layan sellerkurir paket barang sesuai
"sangat memuaska, pengiriman cepat, yg mengantar jg ramah. sukses selalu.",positif,memuaska kirim cepat antar ramah sukses
"aplikasi Shopee ini bagus banget, bisa pesan semua yang diinginkan melalui ponsel, cocok bgt buat orang yg mageran keluar rumah bisa pesan di Shopee aja. aku udah jadi langganan banget di Shopee, pokoknya apa apa sama Shopee.. makasih Shopee, ga pelit lagi voucher nya 🫰🏻🫰🏻 maaf aku ulang terus, ternyata udah gak lag. terimakasih. inii bagus aplikasi nya. ayoo yang belum punya sini merapat ke shopee. baguss tauuu",positif,aplikasi shopee bagus pesan ponsel cocok banget orang mageran rumah pesan shopee udah langgan shopee pokok shopee makasih shopee pelit voucher nya maaf ulang udah lag terimakasih ini bagus aplikasi nya ayoo rapat shopee baguss tauuu
ok bahan tebal ada cap 304 mudah2 itu benar,positif,tuju bahan tebal cap mudah
luarbiasa,positif,luarbiasa
baikk,positif,baikk
barang sesuai,positif,barang sesuai
makin hari makin mahal shopee ngk bnyak lg promo dan diskon nya,netral,mahal shopee ngk bnyak promo diskon nya
cod ga sampai tempat,negatif,cod
"Trims cincin Marjan sudah saya terima,bagus,rapi,tapi pesanan saya ring on ini blm 8 sedangkan yang saya terima ring 7",positif,trims cincin marjan terimabagusrapitapi pesan ring on terima ring
aku suka banget maksih ya shopee kamu sekarang jadi pilihan ku,positif,suka maksih ya shopee pilih ku
"cefys,f td td GG yyr",positif,cefysf td td gg yyr
"apk bosok, udh ngelag, patah2, berat bangt anjj, pdhl hp juga ga jelek2 amat.",negatif,aplikasi bosok ngelag patah berat bangt anjj hp jelek
apk sangat membantu,positif,aplikasi bantu
barang nya bagus bagsus,positif,barang nya bagus bagsus
admin kurang bagus kerjanya trus lemot dalam menangani kendala di shopee,negatif,admin bagus kerja trus lambat tangan kendala shopee
pesanan selalu sesuai dg yg diharapkan,positif,pesan sesuai harap
"kurir/pengantar paket lama, dikit lgi nyampe tujuan mlh nyatai, dlu pernah kurir berhenti dri jam 11 sampai jam 4 bru lnjut nganter, pernah sampe adzan maghrib bru nyampe tujuan",netral,kurirpengantar paket dikit lgi nyampe tuju nyata kurir henti jam jam bru lnjut nganter adzan maghrib bru nyampe tuju
pengiriman cepat dan murah produknya,positif,kirim cepat murah produk
aplikasi berguna untuk anak mager kayak saya kalau gk percaya dowload,positif,aplikasi guna anak malas gerak gk percaya dowload
sempurna,positif,sempurna
kalau bisa pedagang yang kurang amanah bisa di keluarkan.. biar orang yang mau belanja menjadi aman,positif,dagang amanah keluar biar orang belanja aman
sangat membantu bagi orang yang suka berbelanja dgn budget yg ramah di kantong khususnya sayaa,positif,bantu orang suka belanja budget ramah kantong sayaa
"makin lama, makin burung pelayanan nya...top up etoll...saldo gak masuk sopay nya kepotong...tetep bayar walau gak trima prodak, hati2 kl top up...makin ngaco aja sistem nya...gw RETUR BARANG UDH DI TRIMA TOKO, PENGEMBALIN SELESAI STATUS DI TOLAK ,UANG GAK BALIK ,BARANG UDH BALIK KE TOKO,, GW HARUS TETEP BAYAR.",negatif,burung layan nyatop up etollsaldo masuk sopay nya kepotongtetep bayar trima prodak hati top upmakin ngaco sistem nyagw retur barang trima toko pengembalin selesai status tolak uang barang toko tetep bayar
"saya sangat senang belanja di shopee, banyak diskonnya",positif,senang belanja shopee diskon
rurithewinner,negatif,rurithewinner
bagus pelayananxa,positif,bagus pelayananxa
"awalny tuh seneng belanja di shopee tp makin kesini utk Jasa Pengirman shopee SPX itu parahh bgtt, pengiriman tertunda smp 3x dan barang sll dlm pengiriman tp gak smp², jarak dr jakarta utara ke jakarta selatan smp 5hari gak smp² dan tindakan dr shopee cuma di note disampaikan sdh itu aja dan bukan pertama kasus sptt ini dah bbrp kali malah sebelumnya barang gak smp yp statusny smp diterima.",negatif,awalny tuh neng belanja shopee tp kesini jasa pengirman shopee spx parahh bgtt kirim tunda smp x barang sll dlm kirim tp smp jarak jakarta utara jakarta selatan smp smp tindak shopee note sdh sptt dah kali barang smp yp statusny smp terima
pengiriman tepat waktu dan barang bagus,positif,kirim barang bagus
makin kesini pengiriman makin lama di tunda tunda padahal tinggal antar jarak sudah dekat dulu GK gini apalagi pengiriman lambat dulu 3-5 hari sekarang 1 Minggu melebihi Estimasi yang di kasi cuma voucher 10 ribu GK guna juga Harusnya di cantumkan nomor hp kurir nama kurir biar bisa di hubungi,negatif,kesini kirim tunda tunda tinggal jarak gk gin kirim lambat minggu lebih estimasi kasi voucher ribu gk cantum nomor hp kurir nama kurir biar hubung
makasih shopee sangat membantu aku bs belanja online🤩🤩,positif,makasih shopee bantu belanja online
"saya pesan katanya datang sekarang eh malah besok,terus katanya bakalan dapet voucher,alasannya pesanan ditunda😓",negatif,pesan eh besokterus dapet voucheralasannya pesan tunda
"Mantap pesanan tepat waktu, trm kash",positif,mantap pesan trm kash
kalo kalian mau belanja tapi budget nya kurang mending kalian co deh di shoppe,positif,belanja budget nya co deh shoppe
mudah gak perlu keluar karena kurang sehat,positif,mudah sehat
bagus good dan cepat,positif,bagus good cepat
bagus😎,positif,bagus
alhamdulillah selama belanja di toko oren sangat puas sekali,positif,alhamdulillah belanja toko oren puas
cepat responsif dan mantap,positif,cepat responsif mantap
"produk nya murah"" ,kualitas & kerahasiaannya terjamin terimakasih shoppe",positif,produk nya murah kualitas rahasia jamin terimakasih shoppe
Semua Baik Hanya Saja Tiap Buka Aplikasi Shopee Selalu Muncul Video Gak Jelas Dan Aplikasinya Terlalu Berat Dan Lelet Ini Jujur Pengalaman Kami Di Aplikasi Shopee.,negatif,buka aplikasi shopee muncul video aplikasi berat lelet jujur alam aplikasi shopee
Shopee oke dan bermanfaat sebagai sarana belanja online di era digitalisasi sekarang ini. Jika berkenan saya menyarankan Shopee lebih memaksimalkan kerjasama dengan pihak jasa kirim agar rute/jalur pengiriman pesanan lebih efisien dan efektif.🙏,positif,shopee tuju manfaat sarana belanja online era digitalisasi kenan saran shopee maksimal kerjasama jasa kirim rutejalur kirim pesan efisien efektif
"JanganGunakan pengiriman SPX jika belanja di shoope, dari pengalaman saya selalu ada masalah jika gunakan SPX Bintang 5 biar di baca ulasan saya🙏",positif,jangangunakan kirim spx belanja shoope alam spx bintang biar baca ulas saya
selama masih ada anteraja bintang 1 dulu,negatif,anteraja bintang
ongkir nya murah dan cepat proses nya,positif,ongkir nya murah cepat proses nya
Customer service jauh lebih oke dibanding toko hijau di samping. Paling search engine nya saja yg perlu diperbaiki (sering keluar produk ga relevan padahal sorting diatur) dan tambah fitur dark mode biar belanja pas malem ga sakit mata.,positif,customer service tuju banding toko hijau samping search engine nya baik produk relevan sorting atur fitur dark mode biar belanja pas malem sakit mata
"best the best,,,,",positif,best the best
tolong jagn sering fermuk ya,positif,tolong jagn fermuk ya
Baik👍😇👌,positif,baik
sangat baguss sering dapat diskon,positif,baguss diskon
"SANGAT KECEWA, LAMBAT DALAM MENANGANI UNTUK MENGANTAR PESANAN. EXPEDISINYA TIDAK TEPAT WAKTU KHUSUSNYA SPX. DAN MEMAKSA KONSUMEN UNTUK MENERIMA DAN TIDAK DIPERBOLEHKAN PENGAJUAN PENGEMBALIAN DANA.",negatif,kecewa lambat tangan antar pesan expedisinya spx paksa konsumen terima boleh aju kembali dana
"mending JNT dari pada SPX, pengiriman nya lama paketnya sering di tunda"" apalah meresahkan, mohon d perbaiki proses pengiriman nya estimasi nya tanggal berapa sampainya tanggal berapa",negatif,jnt spx kirim nya paket tunda apa resah mohon baik proses kirim nya estimasi nya tanggal sampai tanggal
paket gua nggak nyampe nyampe udah lebih dari 1 bulan udah kebayar lagi tanggung jawab sopiy kunyuk anj,negatif,paket nggak nyampe nyampe udah udah bayar tanggung sopiy kunyuk anj
srmpurna,positif,srmpurna
semoga tambah baik kedepannya,positif,moga depan
Tidak dapat batalkan pesanan sebelum order diterima resto. sangat menjebak buat pelanggan. hati2 ya..,negatif,batal pesan order terima resto jebak langgan hati ya
pelayanan bgs tp kadang suka ada penjual mengirim orderan TDK sesui dgn iklan... tp jarang si,positif,layan bagus tp kadang suka jual kirim order tdk sesui iklan tp jarang si
mantap lah ...,positif,mantap
"banyak gratis ongkir, transaksi mudah, proses pengembalian barang tidak bertele tele",positif,gratis ongkir transaksi mudah proses kembali barang tele tele
"Sangat baik belanja online,,, harga murah dan kalau boleh berikan saya selalu voucher GRATIS ONGKIR dan discount harga di shopee.....shopee sangat memuaskan pelanggan....terimakasih shopee...mantap",positif,belanja online harga murah voucher gratis ongkir discount harga shopeeshopee muas pelangganterimakasih shopeemantap
"belanja apapun yang kita butuhkan, ada di shopee, jadi sangat membantu dan mempermudah kita saat ingin belanja. shopee terbaiik..",positif,belanja apa butuh shopee bantu mudah belanja shopee terbaiik
Belanja di shoppe lebih mudah dan murah,positif,belanja shoppe mudah murah
makasih banyak Shopee karena kamu aku jadi bebas belanja apa aja dan harga nya terjangkau banget disini makasih ❤🫰,positif,makasih shopee bebas belanja harga nya jangkau makasih
"awalnya bisa COD, pas ada yang bangun jpx sekitar sini jadi ngga bisa👎🏻",negatif,cod pas bangun jpx bisa
"Aplikasi tidak berfungsi semestinya aplikasi belanja tapi isinya sampah seperti video tdk jelas, ketika jaringan kurang stabil, semua resource data internet habis mengunduh video sampah sehingga tdk bisa menyelesaikan chekout",negatif,aplikasi fungsi mesti aplikasi belanja isi sampah video tdk jaring stabil resource data internet habis unduh video sampah tdk selesai chekout
belanja makin mantap,positif,belanja mantap
"gaje anying , tiap buka aplikasi shoppe lngsung ke vidio . tidak normal emang aplikasi.",negatif,anying buka aplikasi shoppe lngsung vidio normal emang aplikasi
knapa ya gk bisa kirim ke alamat tertentu.padhala lokasinya dan alamatnya ada.tpi gk bisa,positif,knapa ya gk kirim alamat tertentupadhala lokasi alamat adatpi gk
Alhamdulillah belanja di shope mudah,positif,alhamdulillah belanja shope mudah
tlg proses pengembalian dana.. bukan balikkan barang,negatif,tlg proses kembali dana balik barang
sesuai dngn kebutuhan nya.,positif,sesuai dngn butuh nya
aplikasi yg sangat memudahkan kita berbelanja dan menerapkan harga sesuai kantong,positif,aplikasi mudah belanja terap harga sesuai kantong
kacau.. maksa banget nampilkan video. mau belanja bukan mau nntn video,negatif,kacau maksa nampilkan video belanja nntn video
memberikan pengalaman dan kemudahan dlm berbelanja,positif,alam mudah dlm belanja
